Chart Position,Title,Artist
1,TEXAS HOLD 'EM,Beyoncé
2,Lose Control,Teddy Swims
3,Beautiful Things,Benson Boone
4,Flowers,Miley Cyrus
5,Turn the Lights Back On,Billy Joel
6,Don't Let the Old Man In,Toby Keith
7,Lovin On Me,Jack Harlow
8,TEXAS HOLD 'EM,Beyoncé
9,Fast Car,Tracy Chapman
12,16 CARRIAGES,Beyoncé
13,Fast Car,Luke Combs
14,Selfish,Justin Timberlake
15,I Remember Everything (feat. Kacey Musgraves),Zach Bryan
17,Houdini,Dua Lipa
18,Yeah! (feat. Lil Jon & Ludacris),USHER
19,Save Me,Jelly Roll
20,Made For Me,Muni Long
21,Lil Boo Thang,Paul Russell
22,Cruel Summer,Taylor Swift
24,Live Like You Were Dying,Tim McGraw
25,Where the Wild Things Are,Luke Combs
26,Let's Go,Key Glock
27,In Case You Didn't Know,Brett Young
28,It Ain't Over 'Til It's Over,Lenny Kravitz
29,Spicy Margarita,Jason Derulo & Michael Bublé
30,Need a Favor,Jelly Roll
31,Should've Been a Cowboy,Toby Keith
32,Three Little Birds,Bob Marley & The Wailers
33,Water,Tyla
34,You’re Losing Me (From The Vault),Taylor Swift
35,White Horse,Chris Stapleton
37,"What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish
38,"Courtesy of the Red, White and Blue (The Angry American)",Toby Keith
39,Fly Away,Lenny Kravitz
40,One Love / People Get Ready,Bob Marley & The Wailers
41,Lovin On Me,Jack Harlow
42,Thinkin’ Bout Me,Morgan Wallen
43,Anti-Hero,Taylor Swift
44,Good Day,Forrest Frank
45,Save Me (with Lainey Wilson) [with Lainey Wilson],Jelly Roll
46,Devil You Know,Tyler Braden
47,Murder On the Dancefloor (Radio Edit),Sophie Ellis-Bextor
48,A Country Boy Can Survive,"Hank Williams, Jr."
49,Spin You Around (1/24),Morgan Wallen
50,Love Story (Taylor’s Version),Taylor Swift
51,As Good As I Once Was,Toby Keith
52,You Belong With Me (Taylor’s Version),Taylor Swift
53,Purple Irises,Gwen Stefani & Blake Shelton
54,Hard to Love,Lee Brice
55,Wildflowers and Wild Horses (Single Version),Lainey Wilson
56,Watermelon Moonshine,Lainey Wilson
58,Lover,Taylor Swift
59,Stick Season,Noah Kahan
60,CARNIVAL,"¥$, Kanye West & Ty Dolla $ign"
61,Dance The Night,Dua Lipa
62,Karma,Taylor Swift
63,Pretty Little Poison,Warren Zeiders
64,Last Night,Morgan Wallen
65,Are You Gonna Go My Way,Lenny Kravitz
66,Lead Me Home,Jamey Johnson
67,We Are the World,U.S.A. for Africa
68,How Do You Like Me Now?!,Toby Keith
69,TRUCK BED,HARDY
70,23,Chayce Beckham
72,Can't Get Enough,Jennifer Lopez
73,Tennessee Whiskey,Chris Stapleton
74,Bulletproof,Nate Smith
75,Strangers,Kenya Grace
77,You Need To Calm Down,Taylor Swift
78,There Was Jesus,Zach Williams & Dolly Parton
79,I Love This Bar,Toby Keith
80,Used To Be Young,Miley Cyrus
81,Tell It To My Heart,Cash Cash & Taylor Dayne
82,Life With You,Kelsey Hart
83,Rule The World (Everybody),"Tiësto, Tears for Fears, NIIKO X SWAE & GUDFELLA"
84,Standing Next to You (USHER Remix),Jung Kook & USHER
85,...Ready For It?,Taylor Swift
86,A Symptom Of Being Human,Shinedown
87,greedy,Tate McRae
88,Heart Like a Truck,Lainey Wilson
89,American Woman,Lenny Kravitz
90,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
91,Everybody (feat. Lil Uzi Vert),Nicki Minaj
92,Unwritten,Natasha Bedingfield
93,HISS,Megan Thee Stallion
95,redrum,21 Savage
96,To Be A Man (feat. Darius Rucker),Dax
97,The Door,Teddy Swims
98,It Takes 3,Pitbull & Vikina
99,bury a friend,Billie Eilish
100,Unstoppable,Sia
